asin,name,brand,category,price,rating,review_count,image_url,product_url,availability,vendor
MOBHK55ANBSGUGCJ,Samsung Galaxy F70e 5G (Spotlight Blue, 128GB),Samsung,Smartphone,12999,0,0,https://m.media-amazon.com/images/I/71QRVW0H+iL._SL1500_.jpg,https://www.flipkart.com/samsung-galaxy-f70e-5g-spotlight-blue-128-gb/p/itm9b75b980e9dae?pid=MOBHK55ANBSGUGCJ&marketplace=FLIPKART,In Stock,Flipkart
MOBHDVFKSF3YZQNK,Samsung Galaxy F07 (Green, 64GB),Samsung,Smartphone,7499,4.3,4038,https://m.media-amazon.com/images/I/317CVL0zICL.jpg,https://www.flipkart.com/samsung-galaxy-f07-green-64-gb/p/itm294cbb65839e6?pid=MOBHDVFKSF3YZQNK&marketplace=FLIPKART,In Stock,Flipkart
MOBGYT2HEYWFCG8Q,Samsung Galaxy A35 5G (Awesome Iceblue, 128GB),Samsung,Smartphone,19999,4.4,4361,https://m.media-amazon.com/images/I/51VfGGh7quL.jpg,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-128-gb/p/itm9684d2fe9201e?pid=MOBGYT2HEYWFCG8Q&marketplace=FLIPKART,In Stock,Flipkart
MOBHDVFKDNDVPYMK,Samsung Galaxy S24 5G (Amber Yellow, 256GB),Samsung,Smartphone,47999,4.6,3118,https://m.media-amazon.com/images/I/51j734KaQvL._SL1024_.jpg,https://www.flipkart.com/samsung-galaxy-s24-5g-snapdragon-amber-yellow-256-gb/p/itm170d9f8c2ec9c?pid=MOBHDVFKDNDVPYMK&marketplace=FLIPKART,In Stock,Flipkart
MOBHGWKEV2HYWMQP,Samsung Galaxy M07 (Black, 64GB),Samsung,Smartphone,7875,4.3,2,https://m.media-amazon.com/images/I/610lbucItmL._SL1500_.jpg,https://www.flipkart.com/samsung-galaxy-m07-black-64-gb/p/itm0b84fbcd25ac9?pid=MOBHGWKEV2HYWMQP&marketplace=FLIPKART,In Stock,Flipkart
MOBH92ADWAXKWDBS,Samsung Galaxy A16 5G (Blue-Black, 128GB),Samsung,Smartphone,15690,4.2,200,https://m.media-amazon.com/images/I/71wWlLQTNoL._SL1500_.jpg,https://www.flipkart.com/samsung-galaxy-a16-5g-blue-black-128-gb/p/itm8026353efa9d5?pid=MOBH92ADWAXKWDBS&marketplace=FLIPKART,In Stock,Flipkart
MOBHEYY2FCCGHYEM,Samsung Galaxy M36 5G (Velvet Black, 128GB),Samsung,Smartphone,16773,4.3,1000,https://m.media-amazon.com/images/I/61FcXMhjr8L._SL1500_.jpg,https://www.flipkart.com/samsung-m36-5g-velvet-black-black-128-gb/p/itm1e7be51802033?pid=MOBHEYY2FCCGHYEM&marketplace=FLIPKART,In Stock,Flipkart
MOBH8K8UJTZZN7WZ,Samsung Galaxy S25+ 5G (Silver Shadow, 256GB),Samsung,Smartphone,74999,4.7,44,https://m.media-amazon.com/images/I/61l1LF0C0CL._SL1500_.jpg,https://www.flipkart.com/samsung-galaxy-s25-plus-5g-silver-shadow-256-gb/p/itm8d76a9b476932?pid=MOBH8K8UJTZZN7WZ&marketplace=FLIPKART,In Stock,Flipkart
MOBGYT2HGFKNMSZQ,Samsung Galaxy A35 5G (Awesome Navy, 8GB RAM, 128GB),Samsung,Smartphone,19999,4.4,700,https://m.media-amazon.com/images/I/71D7SohzxcL._SL1500_.jpg,https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-navy-128-gb/p/itm12fccc5bfbaac?pid=MOBGYT2HGFKNMSZQ&marketplace=FLIPKART,In Stock,Flipkart
MOBHE3GH87GTJNFZ,Samsung Galaxy S25 Ultra 5G (Titanium Silverblue, 256GB),Samsung,Smartphone,109499,4.4,1,https://m.media-amazon.com/images/I/71tz3adVWaL._SL1500_.jpg,https://www.flipkart.com/samsung-s25-ultra-titanium-silverblue-256-gb/p/itmd7779f319f51d?pid=MOBHE3GH87GTJNFZ&marketplace=FLIPKART,In Stock,Flipkart
